[0.004s][info][gc] Using Serial
[38.417s][info][gc] GC(67) Pause Young (Allocation Failure) 9M->5M(15M) 0.106ms
[38.418s][info][gc] GC(68) Pause Young (Allocation Failure) 9M->5M(15M) 0.120ms
[38.419s][info][gc] GC(69) Pause Young (Allocation Failure) 9M->5M(15M) 0.109ms
[38.420s][info][gc] GC(70) Pause Young (Allocation Failure) 9M->5M(15M) 0.103ms
[38.421s][info][gc] GC(71) Pause Young (Allocation Failure) 9M->5M(15M) 0.108ms
[38.422s][info][gc] GC(72) Pause Young (Allocation Failure) 9M->4M(15M) 0.094ms
[38.423s][info][gc] GC(73) Pause Young (Allocation Failure) 9M->5M(15M) 0.111ms
[38.424s][info][gc] GC(74) Pause Young (Allocation Failure) 9M->5M(15M) 0.106ms
[38.425s][info][gc] GC(75) Pause Young (Allocation Failure) 9M->5M(15M) 0.107ms
[38.426s][info][gc] GC(76) Pause Young (Allocation Failure) 9M->5M(15M) 0.168ms
[38.427s][info][gc] GC(77) Pause Young (Allocation Failure) 9M->5M(15M) 0.106ms
[38.428s][info][gc] GC(78) Pause Young (Allocation Failure) 9M->5M(15M) 0.147ms
[38.428s][info][gc] GC(79) Pause Young (Allocation Failure) 9M->5M(15M) 0.141ms
[38.429s][info][gc] GC(80) Pause Young (Allocation Failure) 9M->5M(15M) 0.141ms
[38.430s][info][gc] GC(81) Pause Young (Allocation Failure) 9M->5M(15M) 0.135ms
[38.431s][info][gc] GC(82) Pause Young (Allocation Failure) 9M->5M(15M) 0.126ms
[38.431s][info][gc] GC(83) Pause Young (Allocation Failure) 9M->5M(15M) 0.123ms
[38.432s][info][gc] GC(84) Pause Young (Allocation Failure) 9M->5M(15M) 0.121ms
[38.433s][info][gc] GC(85) Pause Young (Allocation Failure) 9M->5M(15M) 0.116ms
[38.433s][info][gc] GC(86) Pause Young (Allocation Failure) 9M->5M(15M) 0.113ms
[38.434s][info][gc] GC(87) Pause Young (Allocation Failure) 9M->5M(15M) 0.115ms
[38.435s][info][gc] GC(88) Pause Young (Allocation Failure) 9M->5M(15M) 0.115ms
[38.435s][info][gc] GC(89) Pause Young (Allocation Failure) 9M->5M(15M) 0.148ms
[38.436s][info][gc] GC(90) Pause Young (Allocation Failure) 9M->5M(15M) 0.129ms
[38.437s][info][gc] GC(91) Pause Young (Allocation Failure) 9M->5M(15M) 0.094ms
[38.437s][info][gc] GC(92) Pause Young (Allocation Failure) 9M->5M(15M) 0.101ms
[38.438s][info][gc] GC(93) Pause Young (Allocation Failure) 9M->5M(15M) 0.108ms
[38.438s][info][gc] GC(94) Pause Young (Allocation Failure) 9M->5M(15M) 0.109ms
[38.439s][info][gc] GC(95) Pause Young (Allocation Failure) 9M->5M(15M) 0.125ms
[38.440s][info][gc] GC(96) Pause Young (Allocation Failure) 9M->5M(15M) 0.129ms
[38.441s][info][gc] GC(97) Pause Young (Allocation Failure) 9M->5M(15M) 0.093ms
[38.441s][info][gc] GC(98) Pause Young (Allocation Failure) 9M->5M(15M) 0.146ms
[38.442s][info][gc] GC(99) Pause Young (Allocation Failure) 9M->5M(15M) 0.143ms
[38.443s][info][gc] GC(100) Pause Young (Allocation Failure) 9M->5M(15M) 0.136ms
[38.443s][info][gc] GC(101) Pause Young (Allocation Failure) 9M->5M(15M) 0.133ms
[38.444s][info][gc] GC(102) Pause Young (Allocation Failure) 9M->4M(15M) 0.089ms
[38.445s][info][gc] GC(103) Pause Young (Allocation Failure) 9M->5M(15M) 0.101ms
[38.445s][info][gc] GC(104) Pause Young (Allocation Failure) 9M->5M(15M) 0.112ms
[38.446s][info][gc] GC(105) Pause Young (Allocation Failure) 9M->5M(15M) 0.111ms
[38.446s][info][gc] GC(106) Pause Young (Allocation Failure) 9M->5M(15M) 0.101ms
[38.447s][info][gc] GC(107) Pause Young (Allocation Failure) 9M->5M(15M) 0.114ms
[38.448s][info][gc] GC(108) Pause Young (Allocation Failure) 9M->5M(15M) 0.114ms
[38.448s][info][gc] GC(109) Pause Young (Allocation Failure) 9M->5M(15M) 0.128ms
[38.449s][info][gc] GC(110) Pause Young (Allocation Failure) 9M->5M(15M) 0.127ms
[38.450s][info][gc] GC(111) Pause Young (Allocation Failure) 9M->5M(15M) 0.130ms
[38.450s][info][gc] GC(112) Pause Young (Allocation Failure) 9M->5M(15M) 0.088ms
[38.451s][info][gc] GC(113) Pause Young (Allocation Failure) 9M->5M(15M) 0.101ms
[38.452s][info][gc] GC(114) Pause Young (Allocation Failure) 9M->5M(15M) 0.105ms
[38.452s][info][gc] GC(115) Pause Young (Allocation Failure) 9M->5M(15M) 0.134ms
[38.453s][info][gc] GC(116) Pause Young (Allocation Failure) 9M->5M(15M) 0.123ms
[38.454s][info][gc] GC(117) Pause Young (Allocation Failure) 9M->5M(15M) 0.144ms
[38.455s][info][gc] GC(118) Pause Young (Allocation Failure) 9M->5M(15M) 0.152ms
[38.455s][info][gc] GC(119) Pause Young (Allocation Failure) 9M->5M(15M) 0.151ms
[38.456s][info][gc] GC(120) Pause Young (Allocation Failure) 9M->5M(15M) 0.184ms
[38.457s][info][gc] GC(121) Pause Young (Allocation Failure) 9M->5M(15M) 0.194ms
[38.458s][info][gc] GC(122) Pause Young (Allocation Failure) 9M->5M(15M) 0.231ms
[38.459s][info][gc] GC(123) Pause Young (Allocation Failure) 9M->5M(15M) 0.276ms
[38.460s][info][gc] GC(124) Pause Young (Allocation Failure) 9M->5M(15M) 0.160ms
[38.461s][info][gc] GC(125) Pause Young (Allocation Failure) 9M->5M(15M) 0.162ms
[38.462s][info][gc] GC(126) Pause Young (Allocation Failure) 9M->5M(15M) 0.111ms
[38.462s][info][gc] GC(127) Pause Young (Allocation Failure) 9M->5M(15M) 0.108ms
[38.463s][info][gc] GC(128) Pause Young (Allocation Failure) 9M->5M(15M) 0.102ms
[38.464s][info][gc] GC(129) Pause Young (Allocation Failure) 9M->5M(15M) 0.127ms
[38.464s][info][gc] GC(130) Pause Young (Allocation Failure) 9M->5M(15M) 0.129ms
[38.465s][info][gc] GC(131) Pause Young (Allocation Failure) 9M->5M(15M) 0.105ms
[38.466s][info][gc] GC(132) Pause Young (Allocation Failure) 9M->5M(15M) 0.108ms
[38.466s][info][gc] GC(133) Pause Young (Allocation Failure) 9M->5M(15M) 0.096ms
[38.467s][info][gc] GC(134) Pause Young (Allocation Failure) 9M->5M(15M) 0.117ms
[38.468s][info][gc] GC(135) Pause Young (Allocation Failure) 9M->5M(15M) 0.111ms
[38.468s][info][gc] GC(136) Pause Young (Allocation Failure) 9M->5M(15M) 0.116ms
[38.469s][info][gc] GC(137) Pause Young (Allocation Failure) 9M->5M(15M) 0.135ms
[38.470s][info][gc] GC(138) Pause Young (Allocation Failure) 9M->5M(15M) 0.116ms
[38.470s][info][gc] GC(139) Pause Young (Allocation Failure) 9M->5M(15M) 0.128ms
[38.471s][info][gc] GC(140) Pause Young (Allocation Failure) 9M->5M(15M) 0.122ms
[38.472s][info][gc] GC(141) Pause Young (Allocation Failure) 9M->5M(15M) 0.120ms
[38.472s][info][gc] GC(142) Pause Young (Allocation Failure) 9M->5M(15M) 0.109ms
[38.473s][info][gc] GC(143) Pause Young (Allocation Failure) 9M->5M(15M) 0.113ms
[38.474s][info][gc] GC(144) Pause Young (Allocation Failure) 9M->5M(15M) 0.102ms
[38.474s][info][gc] GC(145) Pause Young (Allocation Failure) 9M->5M(15M) 0.098ms
[38.475s][info][gc] GC(146) Pause Young (Allocation Failure) 9M->5M(15M) 0.106ms
[38.476s][info][gc] GC(147) Pause Young (Allocation Failure) 9M->5M(15M) 0.114ms
[61.833s][info][gc] GC(148) Pause Young (Allocation Failure) 9M->5M(15M) 1.148ms
[102.004s][info][gc] GC(149) Pause Young (Allocation Failure) 9M->5M(15M) 1.348ms
[115.971s][info][gc] GC(150) Pause Young (Allocation Failure) 9M->5M(15M) 1.192ms
[115.974s][info][gc] GC(151) Pause Young (Allocation Failure) 9M->5M(15M) 0.729ms
[115.976s][info][gc] GC(152) Pause Young (Allocation Failure) 9M->5M(15M) 0.583ms
[115.978s][info][gc] GC(153) Pause Young (Allocation Failure) 9M->5M(15M) 0.559ms
[115.981s][info][gc] GC(154) Pause Young (Allocation Failure) 9M->5M(15M) 0.626ms
[115.982s][info][gc] GC(155) Pause Young (Allocation Failure) 9M->5M(15M) 0.515ms
[115.984s][info][gc] GC(156) Pause Young (Allocation Failure) 9M->5M(15M) 0.475ms
[115.986s][info][gc] GC(157) Pause Young (Allocation Failure) 9M->5M(15M) 0.472ms
[115.988s][info][gc] GC(158) Pause Young (Allocation Failure) 9M->5M(15M) 0.462ms
[115.990s][info][gc] GC(159) Pause Young (Allocation Failure) 9M->5M(15M) 0.423ms
[115.991s][info][gc] GC(160) Pause Young (Allocation Failure) 9M->5M(15M) 0.431ms
[115.993s][info][gc] GC(161) Pause Young (Allocation Failure) 9M->5M(15M) 0.416ms
[115.995s][info][gc] GC(162) Pause Young (Allocation Failure) 9M->5M(15M) 0.398ms
[115.996s][info][gc] GC(163) Pause Young (Allocation Failure) 9M->5M(15M) 0.394ms
[115.998s][info][gc] GC(164) Pause Young (Allocation Failure) 9M->5M(15M) 0.314ms
[115.999s][info][gc] GC(165) Pause Young (Allocation Failure) 9M->5M(15M) 0.277ms
[116.000s][info][gc] GC(166) Pause Young (Allocation Failure) 9M->5M(15M) 0.237ms
[116.002s][info][gc] GC(167) Pause Young (Allocation Failure) 9M->5M(15M) 0.303ms
[116.003s][info][gc] GC(168) Pause Young (Allocation Failure) 9M->5M(15M) 0.201ms
[116.005s][info][gc] GC(169) Pause Young (Allocation Failure) 9M->5M(15M) 0.206ms
[116.006s][info][gc] GC(170) Pause Young (Allocation Failure) 9M->5M(15M) 0.199ms
[116.007s][info][gc] GC(171) Pause Young (Allocation Failure) 9M->5M(15M) 0.227ms
[116.008s][info][gc] GC(172) Pause Young (Allocation Failure) 9M->5M(15M) 0.213ms
[116.009s][info][gc] GC(173) Pause Young (Allocation Failure) 9M->5M(15M) 0.269ms
[116.011s][info][gc] GC(174) Pause Young (Allocation Failure) 9M->5M(15M) 0.256ms
[116.012s][info][gc] GC(175) Pause Young (Allocation Failure) 9M->5M(15M) 0.265ms
[116.013s][info][gc] GC(176) Pause Young (Allocation Failure) 9M->5M(15M) 0.155ms
[116.014s][info][gc] GC(177) Pause Young (Allocation Failure) 9M->5M(15M) 0.159ms
[116.015s][info][gc] GC(178) Pause Young (Allocation Failure) 9M->5M(15M) 0.163ms
[116.016s][info][gc] GC(179) Pause Young (Allocation Failure) 9M->5M(15M) 0.181ms
[116.017s][info][gc] GC(180) Pause Young (Allocation Failure) 9M->5M(15M) 0.199ms
[116.018s][info][gc] GC(181) Pause Young (Allocation Failure) 9M->5M(15M) 0.206ms
[116.019s][info][gc] GC(182) Pause Young (Allocation Failure) 9M->5M(15M) 0.204ms
[116.020s][info][gc] GC(183) Pause Young (Allocation Failure) 9M->5M(15M) 0.218ms
[116.021s][info][gc] GC(184) Pause Young (Allocation Failure) 9M->5M(15M) 0.206ms
